Year,reporting_delay,p
2014,42,6.29221633978772e-4
2014,43,5.841951713804644e-4
2014,44,5.430647183845327e-4
2014,45,5.054343699972218e-4
2014,46,4.709544072856073e-4
2014,47,4.393152222943607e-4
2014,48,4.102421309397029e-4
2014,49,3.834909313560319e-4
2014,50,3.588440900433936e-4
2014,51,3.3610745835618177e-4
2014,52,3.151074383281461e-4
2014,53,2.956885302869007e-4
2014,54,2.777112057570905e-4
2014,55,2.6105005824839534e-4
2014,56,2.455921920410502e-4
2014,57,2.3123581531177043e-4
2014,58,2.1788900912285595e-4
2014,59,2.0546864811657087e-4
2014,60,1.9389945236893737e-4
2014,61,1.8311315288600837e-4
2014,62,1.730477557724698e-4
2014,63,1.6364689224930288e-4
2014,64,1.5485924351164946e-4
2014,65,1.4663803095510546e-4
2014,66,1.3894056360396807e-4
2014,67,1.3172783568591695e-4
2014,68,1.2496416824531262e-4
2014,69,1.1861688949745638e-4
2014,70,1.1265604932020608e-4
2014,71,1.070541638751545e-4
2014,72,1.0178598686304194e-4
2014,73,9.682830435975104e-5
2014,74,9.21597505605658e-5
2014,75,8.776064209027377e-5
2014,76,8.36128288225384e-5
2014,77,7.96995594001477e-5
2014,78,7.600535986351742e-5
2014,79,7.251592398279614e-5
2014,80,6.921801405289569e-5
2014,81,6.609937105404919e-5
2014,82,6.314863320590096e-5
2014,83,6.035526205302831e-5
2014,84,5.770947531627299e-5
2014,85,5.520218582904964e-5
2014,86,5.2824945952448155e-5
2014,87,5.056989692873464e-5
2014,88,4.842972269093665e-5
2014,89,4.63976076975149e-5
2014,90,4.44671984065491e-5
2014,91,4.2632568044106796e-5
2014,92,4.0888184357163384e-5
2014,93,3.922888007315485e-5
2014,94,3.764982581644016e-5
2014,95,3.614650525705617e-5
2014,96,3.471469228952198e-5
2014,97,3.3350430059414164e-5
2014,98,3.2050011673267496e-5
2014,99,3.08099624433028e-5
2014,100,2.962702353275514e-5
2014,101,2.8498136880370032e-5
2014,102,2.7420431294101177e-5
2014,103,2.639120961434883e-5
2014,104,2.5407936856331353e-5
2014,105,2.4468229249507934e-5
2014,106,2.3569844099471632e-5
2014,107,2.2710670404484172e-5
2014,108,2.188872016492064e-5
2014,109,2.110212032939461e-5
2014,110,2.0349105326303747e-5
2014,111,1.9628010134036072e-5
2014,112,1.8937263847142036e-5
2014,113,1.8275383699468642e-5
2014,114,1.7640969508591075e-5
2014,115,1.7032698508910746e-5
2014,116,1.644932054354324e-5
2014,117,1.5889653587619952e-5
2014,118,1.5352579577904947e-5
2014,119,1.4837040525697532e-5
2014,120,1.434203489187888e-5
2014,121,1.3866614204679152e-5
2014,122,1.3409879902309753e-5
2014,123,1.2970980384036023e-5
2014,124,1.2549108254573242e-5
2014,125,1.2143497747882945e-5
2014,126,1.1753422317538188e-5
